id,person_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,created_at,updated_at,detection_time
3defdbbd-dc51-4f81-a463-9d2be5e56f95,person_1,90,220,163,372,"0.846780061721802",2025-10-16 02:36:32.086066,2025-10-16 02:36:32.086088,2025-10-16 02:36:32.083082
6f6cb0af-32c7-405f-9fef-1ef71e95af24,person_1,132,217,184,393,"0.835366368293762",2025-10-16 02:39:10.400572,2025-10-16 02:39:10.400589,2025-10-16 02:39:10.3971
8e13b3dc-6c44-4dec-a06c-3df6298c950c,person_1,127,236,216,414,"0.834438264369965",2025-10-16 02:39:09.254138,2025-10-16 02:39:09.254154,2025-10-16 02:39:09.250401
f22694f5-246f-4561-ad76-e83d951bb867,person_1,144,238,242,416,"0.750236809253693",2025-10-16 02:39:07.536257,2025-10-16 02:39:07.536271,2025-10-16 02:39:07.533154
"0e43b4bd-64f8-412e-9796-4ac60bd7eb1f",person_1,103,217,162,391,"0.561678051948547",2025-10-16 02:32:59.027944,2025-10-16 02:32:59.027991,2025-10-16 02:32:59.020609
7c044e68-549d-4bb7-9446-f60eff6d8cf4,person_1,149,237,224,419,"0.82140976190567",2025-10-16 02:39:05.943222,2025-10-16 02:39:05.943237,2025-10-16 02:39:05.939276
"034599f1-3ae8-47ae-ae46-e75ff2bf3719",person_1,132,235,221,414,"0.822433888912201",2025-10-16 02:39:04.270442,2025-10-16 02:39:04.270459,2025-10-16 02:39:04.266487
8728ca6b-45ed-4945-bcee-cf9c277b88f3,person_1,130,236,232,416,"0.883126080036163",2025-10-16 02:39:02.755595,2025-10-16 02:39:02.755614,2025-10-16 02:39:02.751621
3610339a-445e-4aa5-826a-e1ecbb2c397b,person_1,101,218,171,384,"0.816042542457581",2025-10-16 02:33:00.091535,2025-10-16 02:33:00.09155,2025-10-16 02:33:00.087514
ba35f476-c25e-4fa1-9a10-b868c67c1bef,person_1,128,238,232,415,"0.898245930671692",2025-10-16 02:39:01.241536,2025-10-16 02:39:01.241546,2025-10-16 02:39:01.238552
a0a89aae-f3c7-4aeb-957a-233879586d8a,person_1,128,238,230,416,"0.880502045154572",2025-10-16 02:38:59.684553,2025-10-16 02:38:59.684563,2025-10-16 02:38:59.681715
4a5cf934-66d0-4327-abbe-7af8bb8376af,person_1,126,237,232,416,"0.850454032421112",2025-10-16 02:38:58.195144,2025-10-16 02:38:58.195156,2025-10-16 02:38:58.191937
85157162-824f-4b1f-916c-1ccb0112f032,person_1,110,219,192,391,"0.874617695808411",2025-10-16 02:33:01.148254,2025-10-16 02:33:01.148269,2025-10-16 02:33:01.143788
71447204-f795-4883-b969-25d91f1fa894,person_1,134,236,232,416,"0.898889362812042",2025-10-16 02:38:56.005016,2025-10-16 02:38:56.005027,2025-10-16 02:38:56.001625
6fdb5b91-8805-4de4-b0d4-5b3f22d4d47d,person_1,136,237,232,416,"0.894171357154846",2025-10-16 02:38:54.442792,2025-10-16 02:38:54.442805,2025-10-16 02:38:54.438489
6c37fd8f-66a8-45a8-81e8-c88ff0b48f7e,person_1,103,217,181,386,"0.797043740749359",2025-10-16 02:33:02.280085,2025-10-16 02:33:02.280102,2025-10-16 02:33:02.274768
